number,status,sk_description,supplier_number,supplier_description,minimum_po_quantity,purchase_unit,stock_unit,pur_stk_conversion,price_per_stock_unit,price_per_purchase_unit,supplier_id
1390,Active,Lab- Sqr Back for 164765,P2069358100-026,Lab- Sqr Back for 164765,0,EA,EA,1,0.0139,0.0139,25
1393,Active,Sqr Back For FG-4730 3x3 in,P2069358100-019,Sqr Back For FG-4730 3x3 in,0,EA,EA,1,0.013,0.013,25
1396,Active,Sqr Back for FG-4761 3 x 3 in,P2069357100-020,Sqr Back for FG-4761 3 x 3 in,0,EA,EA,1,0.0139,0.0139,25
1401,Active,Sqr Back For FG-4741 3x 3in,P2069358100-016,Sqr Back For FG-4741 3x 3in,0,EA,EA,1,0.0117,0.0117,25
1409,Obsolete,Lab- Sqr PLN Bagel  Crm 3X3 ,1409,Lab Square Plain Bagel  CC 3x3,1000,CS,EA,1000,0.0115,11.5,20
1422,Obsolete,Towel Paper Multifold MB560A,14100550,16-150 EA,0,CS,CS,1,0,0,105
1426,Active,Cheese Cheddar White Mild Loaf,8821,Cheese Cheddar White Mild Loaf,0,CS,LB,40,2.505,100.2,9
1427,Active,Cheese American Processed .43z,493,Cheese American Processed .43z,1,CS,EA,736,0.0595,43.792,9
1443,Active,Chicken Salad w/ Dressing,47630,1-30 Lb,15,CS,OZ,480,0.1404,67.392,106
1444,Active,Egg Salad With Dressing,45430,1-30 Lb,15,CS,OZ,480,0.1334,64.032,106
1445,Active,Tuna Salad With Dressing,45830,1-30 Lb,15,CS,OZ,480,0.1359,65.232,106
1446,Active,Cheese Provolone Sliced .5 Oz,25804,Cheese Provolone Sliced .5 Oz,1,CS,EA,384,0.1002,38.4768,9
1447,Not Stocked,Swiss Sliced,1477,Sliced Swiss .5 OZ,0,CS,EA,1000,0.0997,99.7,9
1462,Active,X Large Vinyl Gloves,70310,xlg vinyl pwdr free glove,0,CS,EA,1000,0,0,80
1463,Obsolete,Tomatoes Roasted -Oil Cantare ,22874,Tomatoes Roasted - Oil Cantare,10,TB,OZ,448,0.4741,212.3968,19
1463,Obsolete,Tomatoes Roasted -Oil Cantare ,8928,Tomatoes Roasted - Oil Cantare,0,TB,OZ,448,0.4741,212.3968,107
1467,Obsolete,Cheese Havarti Sliced Dofino,48633,8-24 oz,1,CS,EA,192,0.2403,46.1376,9
1476,Obsolete,Sausage Patty Pork 1.5 oz,29660,1-102 ea,1,CS,EA,102,0.1873,19.1046,78
1480,Obsolete,Garlic Roasted Concentrate,302264,,0,CS,OZ,96,0.4106,39.4176,108
1481,Obsolete,Roll French Braided Sliced,1071SAN,9-8 EA,45,CS,EA,72,0.23,16.56,65
1482,Obsolete,Ciabatta Pillow Loaf,1072,Ciabatta Pillow Loaf,45,CS,EA,64,0.242,15.488,65
1483,Obsolete,Cheese Cheddar Buffalo,79422,Cheese Cheddar Buffalo 2-5 LB,10,LB,LB,1,4.1088,4.1088,103
1484,Obsolete,Ham Capicola Spicy Unsliced,58203,Ham Capicola Spicy Unsliced,1,LB,LB,1,2.51,2.51,103
1489,Obsolete,Cheese Mozzarella Sliced .5 Oz,5307,Chs Mozz Sliced .5 Oz 10-1 Lb,1,CS,EA,320,0.1017,32.544,9
1490,Active,Mayonnaise X-Heavy Deluxe,4002390,Mayonnaise 1-30 Lb Sysco Imp,0,CS,OZ,480,0.1032,49.536,1
1491,Obsolete,Turkey Applewood Smoked,824202,2-10.45 lb,1809,LB,LB,1,2.2992,2.2992,21
1492,Obsolete,Spread Dijonnaise,36803,Spread Dijonnaise,1,CS,OZ,400,0.2063,82.52,99
1493,Obsolete,Spread Tomato Kalamata,000 74826 37003 500,Spread Tomato Kalamata,10,CS,OZ,400,0.2281,91.24,99
1494,Obsolete,Spread Buffalo Blue,000 74826 36903 000,Spread Buffalo Blue,10,CS,OZ,400,0.2343,93.72,99
1495,Obsolete,Focaccia Sundried Tomato,1073,Focaccia Sundried Tomato 4x4,45,CS,EA,80,0.28,22.4,65
1499,Active,Hot Dog Hebrew National 5-1,34463,Hot Dog Hebrew National 5-1,90,CS,EA,100,0.598,59.8,109
1503,Obsolete,Cheese Parmesan Shredded,00383 (New #05902),4-5 LB,1,CS,LB,20,3.3392,66.784,9
1504,Obsolete,Salami Soppressata Carando,560400,16-5 OZ,60,CS,EA,320,0.1058,33.856,57
1506,Active,Spoon Polystyrene White 3 IN,10110844,Spoon Polystyreen White 3in,5,CS,EA,3000,0.0088,26.4,17
1512,Active,Pallet Slip Sheets,869603,40x48 Slip Sheet,0,PAL,EA,2000,0,0,2
1531,Obsolete,Spread Herb Cheese,FSTS008,Spread Herb Cheese,36,TB,OZ,640,0.1794,114.816,73
1601,Obsolete,Kaiser Vegan 4 In 16-6 Ea,133SK,Kaiser Vegan 4 In 16-6 ea,1,CS,EA,96,0.3457,33.1872,110
1606,Obsolete,Cheese White Red Fat Loaf,17305,Cheese White Red Fat Loaf,20,CS,LB,10,1.842,18.42,9
1607,Obsolete,Sqr Vegan Gar-burger 3x3 in,VEGAN,1-1000  EA,0,M,EA,1000,0.0115,11.5,20
1608,Obsolete,Rectangle Blank Pink Thrml,P2069358100-010,1-3000 EA,10,RL,EA,3000,0.0289,86.7,25
1609,Obsolete,Bar Code Pink 4x1.875 in,H2069358100-002,1-3000 EA,10,RL,EA,3000,0,0,25
1624,Active,Film Polypro Fuji 15 in Web,RKHS010015000550,Film Polypro Fuji 15 in Web,39,RL,IN,60840,0.0009,54.756,14
1634,Active,Ribbon Black VideoJet,15-S110KQ5,Ribbon Black VideoJet,0,RL,IN,23622,0.0009,21.2598,111
1635,Active,Ribbon Blue VideoJet,15-S110LQ5,Ribbon Blue VideoJet,0,RL,IN,17716,0.0021,37.2036,111
1636,Active,Ribbon Red VideoJet,15-S110RQ5,Ribbon Blue VideoJet,5,RL,IN,17716,0.0021,37.2036,111
1637,Active,Ribbon Orange VideoJet,15-S110OQ5,Ribbon Orange VideoJet,5,RL,IN,17716,0.002,35.432,111
1638,Active,Ribbon Green VideoJet,15-S110GQ5,Ribbon Green VideoJet,5,RL,IN,17716,0.0021,37.2036,111
1640,Obsolete,Box #6 RSC Corrugated Kraft,10390815,Box #6 RSC Corrugated Kraft,1,EA,EA,1,0.395,0.395,17
1643,Active,Gas Nitrogen Liquid Bulk,9630,,0,EA,EA,1,0,0,112
1645,Obsolete,Box #7 RSC Corrugated Kraft,1.0409E+11,Box #7 RSC Corrugated Kraft,10000,EA,EA,1,0.4416,0.4416,17
1649,Active,Can Liner 43x38 blk,80295,liner 43x48 1.7ml black,0,CS,EA,100,0,0,80
1654,Active,Can Liner 38x58 1.3 ml blk,80205,liner 38x58 1.3 ml blk 100ct,0,CS,EA,100,0,0,80
1656,Obsolete,Film Polypro Fuji 14 In Web,RKHS010014000950,,39,RL,IN,60840,0.011,669.24,14
1670,Active,Rect Wht Blank Direct Thermal,CRALAB 1670,4x12 Direct Thermal Label 500,0,CS,EA,2000,0.0395,79,94
1670,Active,Rect Wht Blank Direct Thermal,4x12 DT blank labels,1-500 RL,0,CS,EA,2000,0.0395,79,25
1671,Obsolete,Peppers Peppadew Piquante,52440,3-70 OZ,1,CS,OZ,210,0.2197,46.137,19
1684,Obsolete,Muffin English Plain 2.15 oz,60911,24-6 EA,40,CS,EA,144,0.0962,13.8528,51
1685,Active,Roll Pioneer 6 in 12-6 Ea,62459,12-6 EA,40,CS,EA,72,0.2676,19.2672,51
1686,Active,Roll Sub Hinged 11in 6-6 ea,62458,Roll Sub Hinged 11in 6-6 ea,1,CS,EA,36,0.4308,15.5088,51
1687,Active,Kaiser Corn Dusted 4.5 in ,60922,6-12 EA,40,CS,EA,72,0.1467,10.5624,51
1688,Active,Kaiser Plain 4 in 12-6 Ea,62460,12-6 EA,40,CS,EA,72,0.3288,23.6736,51
