number,status,sk_description,supplier_number,supplier_description,minimum_po_quantity,purchase_unit,stock_unit,pur_stk_conversion,price_per_stock_unit,price_per_purchase_unit,supplier_id
,Obsolete,Liner Can Black 55G,10300431,Liner Can Black 55G,5,CS,CS,1,0,0,17
,Active,Facilities Expense,forpac,,0,EA,EA,1,0,0,120
,Active,Facilities Expense,,,0,EA,EA,1,0,0,121
,Active,Facilities Expense,,,0,EA,EA,1,0,0,122
,Active,Facilities Expense,,,0,EA,EA,1,0,0,123
,Active,Facilities Expense,,,0,EA,EA,1,0,0,124
,Active,20oz Foam Polar Pack 45 cs/plt,FPP20SPF,20oz Foam Polar Pack 45 cs/plt,1,CS,CS,1,0,0,119
MISC,Not Stocked,Miscellaneous Credit,,,0,M,EA,1000,0,0,25
,Active,Office Supplies,,,0,EA,EA,1,0,0,125
,Active,Production Expense,,,0,EA,EA,1,0,0,111
,Active,Production Expense,,,0,EA,EA,1,0,0,126
,Active,Production Expense,,,0,EA,EA,1,0,0,80
,Active,Production Expense,,,0,EA,EA,1,0,0,100
,Active,Production Expense,,,0,EA,EA,1,0,0,127
,Active,Production Expense,,,0,EA,EA,1,0,0,2
,Active,Production Expense,,,0,EA,EA,1,0,0,4
,Active,SanitationExpense,,,0,EA,EA,1,0,0,128
,Active,SanitationExpense,,,0,EA,EA,1,0,0,129
,Active,SanitationExpense,,,0,EA,EA,1,0,0,105
